timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air
2019-09-19 00:00:00+00:00,4.186619293864343,28.0245425867508,28.482870662460556,102.67971608832853,,354.7602523659306,689.1104100946372,807.5394321766562,29.600820189274433,27.737034700315444,46.149350649350644,1.3192429022082022,1.3547949526813878,1.3565299684542589,0.1538485804416403
2019-09-20 00:00:00+00:00,4.446399999688721,27.19737885462518,32.7571145374455,102.5045374449337,,631.7496328928047,967.3384728340676,718.5888399412629,28.69724669603543,32.01608663729852,50.618613281249985,-21.895932452276067,1.1015859030836999,-21.866894273127752,0.08487518355359791
2019-09-21 00:00:00+00:00,4.396762718601517,28.089999999999698,31.690000000000065,102.3000000000016,,686.0,1119.0,794.0,30.009999999999774,30.330000000001004,,-99.0,0.0,-99.0,0.10785660377358514
2019-09-22 00:00:00+00:00,4.381462508047553,28.089999999999698,31.690000000000065,102.3000000000016,,686.0,1119.0,794.0,30.009999999999774,30.330000000001004,,-99.0,0.0,-99.0,0.15819622641509432
2019-09-23 00:00:00+00:00,4.370581580720764,28.089999999999698,31.690000000000065,102.3000000000016,,686.0,1119.0,794.0,30.009999999999774,30.330000000001004,,-99.0,0.0,-99.0,0.20650566037735854
2019-09-24 00:00:00+00:00,4.369125299067938,28.147768762677575,32.73905679513152,102.07511156186737,,595.1866125760649,1026.7941176470588,786.0608519269776,30.038539553752212,31.345446247464942,40.356913580246896,-82.13992900608517,0.19783975659229197,-82.13468559837717,0.16794117647058832
2019-09-25 00:00:00+00:00,3.715006737822476,29.11250758341758,42.50979777553087,101.05521739130593,,163.43680485338726,677.3905325443787,940.3083923154702,30.310424671385217,41.906814964610746,28.584234527687308,-5.534082840236691,2.1355128205128184,-5.479487179487186,1.3752268244575916
2019-09-26 00:00:00+00:00,3.6807157086159696,29.631979725700386,47.28931425163948,101.08097197376158,10.640434782608596,488.67024448419795,1186.6481812760883,985.169946332737,30.85048896839598,46.63106141920072,20.486104166666674,-9.811240310077514,2.7782587954680964,-9.733041144901613,1.4566964818128076
2019-09-27 00:00:00+00:00,3.4996527164210867,29.686458814472697,48.550100076982275,101.40187066974596,8.950000000000019,213.74518860662047,752.495765973826,975.7927580893682,30.805296381832168,47.96741910631746,13.09460469157258,-6.2439953810623585,3.2110315627405703,-6.163102386451101,1.3086066204772913
2019-09-28 00:00:00+00:00,,,,,,,,,,,,,,,
2019-09-29 00:00:00+00:00,,,,,,,,,,,,,,,
2019-09-30 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-01 00:00:00+00:00,3.45588927688071,25.491030927835,48.73910652920951,101.60993127147806,,0.0,400.0,887.3539518900344,26.59855670103113,47.8886941580759,0.0,-74.35615120274913,0.5427835051546392,-74.26460481099656,0.6102061855670103
2019-10-02 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-03 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-04 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-05 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-06 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-07 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-08 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-09 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-10 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-11 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-12 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-13 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-14 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-15 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-16 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-17 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-18 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-19 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-20 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-21 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-22 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-23 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-24 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-25 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-26 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-27 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-28 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-29 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-30 00:00:00+00:00,,,,,,,,,,,,,,,
2019-10-31 00:00:00+00:00,,,,,,,,,,,,,,,
2019-11-01 00:00:00+00:00,,,,,,,,,,,,,,,
2019-11-02 00:00:00+00:00,,,,,,,,,,,,,,,
2019-11-03 00:00:00+00:00,,,,,,,,,,,,,,,
2019-11-04 00:00:00+00:00,,,,,,,,,,,,,,,
2019-11-05 00:00:00+00:00,4.219642281524397,28.582317073170728,33.41536585365853,102.0881707317073,,229.73170731707316,718.5975609756098,944.9146341463414,30.193658536585357,31.591707317073183,11.942331288343562,1.3418902439024387,1.376585365853659,1.3766463414634151,0.08213414634146335
2019-11-06 00:00:00+00:00,4.221580206352172,29.039498926270575,25.58644953471732,102.68412312097382,,215.99141016463852,629.3163922691482,775.4237652111668,30.668153185397244,24.522627057981374,15.237872185911424,1.218217609162489,1.2577236936292067,1.264846098783108,0.11758052970651416
