timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air,sensor_SD,note,sensor_note,Coord_X_m,Coord_Y_m,Coord_Z_m,Position_HumanReadable,sensor,UTCI_approx,UTCI_comfortable,UTCI_stressRange
2019-09-19 18:59:03+00:00,,,,,,,,,,,,,,,,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,,False,2
2019-09-19 19:00:00+00:00,3.9930501938,27.85400000000001,29.814,102.74,-153.506,212.4,550.0,774.6,29.266,29.12,76.23599999999998,1.194,1.2240000000000002,1.2240000000000002,0.124,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.764765796515736,True,0
2019-09-19 19:05:00+00:00,4.0559046744,27.634000000000004,29.97,102.728,-152.5,222.6,544.8,791.6,29.262,29.01,75.36,1.2979999999999998,1.332,1.332,0.15,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.605841922737966,True,0
2019-09-19 19:10:00+00:00,3.9750917910000014,27.498,29.968000000000004,102.72,-151.84,228.6,535.4,786.4,29.138,29.0,74.188,1.3019999999999998,1.3359999999999999,1.3359999999999999,0.094,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.502529589637568,True,0
2019-09-19 19:15:00+00:00,4.10658097275,27.4825,29.975,102.715,-151.3725,230.0,525.25,790.0,29.025,29.0425,73.105,1.1925,1.225,1.225,0.07,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.491218473843325,True,0
2019-09-19 19:20:00+00:00,3.9007889748,27.191999999999997,30.262,102.714,-151.446,228.0,502.2,782.6,28.774,29.358,72.27600000000002,1.208,1.238,1.238,0.06,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.28952181030542,True,0
2019-09-19 19:25:00+00:00,3.9189719201999997,27.544,29.875999999999998,102.72,-151.908,254.8,562.8,780.4,28.998,29.19,70.84200000000001,1.3019999999999998,1.3359999999999999,1.3359999999999999,0.122,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.531964710132215,True,0
2019-09-19 19:30:00+00:00,3.8657701494,27.522,29.794,102.71,-151.346,252.2,557.4,788.4,29.1,28.910000000000004,69.17800000000001,1.1880000000000002,1.2180000000000002,1.2180000000000002,0.084,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.510514804939703,True,0
2019-09-19 19:35:00+00:00,3.9010134219999997,27.412,29.878000000000004,102.712,-151.116,259.2,555.6,779.2,28.892000000000003,29.114,35.01800000000001,1.074,1.1,1.1,0.08600000000000001,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.432386085787083,True,0
2019-09-19 19:40:00+00:00,3.8865906,27.4675,29.76,102.71,-151.0,256.25,534.0,784.75,28.8375,29.165,66.9875,1.19,1.2225,1.2225,0.0425,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.467367500948974,True,0
