timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air,sensor_SD,note,sensor_note,Coord_X_m,Coord_Y_m,Coord_Z_m,Position_HumanReadable,Wkdy(EST),Hour(EST),Month(EST),TOD(EST)
2019-09-19 19:05:00+00:00,4.0559046744,27.634000000000004,29.97,102.728,-152.5,222.6,544.8,791.6,29.261999999999997,29.01,75.36,1.2979999999999998,1.3319999999999999,1.3319999999999999,0.15,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1505
2019-09-19 19:10:00+00:00,3.975091791000001,27.498,29.968000000000004,102.72,-151.84,228.6,535.4,786.4,29.138,29.0,74.188,1.3019999999999998,1.336,1.336,0.094,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1510
2019-09-19 19:15:00+00:00,4.10658097275,27.4825,29.975,102.715,-151.3725,230.0,525.25,790.0,29.025,29.0425,73.105,1.1925,1.225,1.225,0.07,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1515
2019-09-19 19:20:00+00:00,3.9007889748,27.192,30.261999999999997,102.714,-151.446,228.0,502.2,782.6,28.774,29.358,72.27600000000001,1.208,1.238,1.238,0.06,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1520
2019-09-19 19:25:00+00:00,3.9189719202,27.544,29.876,102.72,-151.908,254.8,562.8,780.4,28.998,29.19,70.84200000000001,1.3019999999999998,1.336,1.336,0.122,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1525
2019-09-19 19:30:00+00:00,3.8657701494,27.522,29.794,102.71,-151.346,252.2,557.4,788.4,29.1,28.910000000000004,69.17800000000001,1.1880000000000002,1.2180000000000002,1.2180000000000002,0.084,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1530
2019-09-19 19:35:00+00:00,3.901013422,27.412,29.878000000000004,102.712,-151.116,259.2,555.6,779.2,28.892000000000003,29.114,35.01800000000001,1.074,1.1,1.1,0.08600000000000001,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1535
2019-09-19 19:40:00+00:00,3.8865906000000003,27.4675,29.76,102.71,-151.0,256.25,534.0,784.75,28.8375,29.165,66.9875,1.19,1.2225,1.2225,0.0425,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1540
2019-09-19 19:45:00+00:00,3.8760961532,27.386000000000006,29.880000000000006,102.71,-151.18200000000002,262.6,551.2,784.2,28.75,29.294,65.77199999999999,1.396,1.4280000000000002,1.4280000000000002,0.046,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1545
2019-09-19 19:50:00+00:00,3.8585866926,27.311999999999998,30.094,102.71,-151.084,285.8,592.6,781.2,28.772,29.408,64.49600000000001,1.3299999999999998,1.364,1.364,0.11400000000000003,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1550
